"ID","EndTime","Sex","Is.English.your.primary.language.","Ethnic.group","Other.ethnic.group","Age..Range.in.years.","What.is.your.religion.","Other.religion","Do.you.consider.yourself.to.have.a.disability..If.yes..please.select.from.the.options.which.best.describes.your.disability...br...Please.note..The.information.you.provide.here.may.not.be.shared.with.the.organisation.that.asked.you.to.take.the.test..If.you.wish.them.to.be.aware.of.your.disability.you.should.contact.them.directly.","Country.of.birth","Other.country.of.birth","PD_Education","PD_JobTitle","PD_Occupation","PD_Reason","PD_Tenure","TimeTaken","wgcta.d.theta.score","wgcta.e.theta.score","wgcta.norm.group","wgcta.other.num.answered","wgcta.other.s1.num.answered","wgcta.other.s1.raw.score","wgcta.other.s2.num.answered","wgcta.other.s2.raw.score","wgcta.other.s3.num.answered","wgcta.other.s3.raw.score","wgcta.other.s4.num.answered","wgcta.other.s4.raw.score","wgcta.other.s5.num.answered","wgcta.other.s5.raw.score","wgcta.percentile","wgcta.r.theta.score","wgcta.raw.score","wgcta.retest.completion.status","wgcta.retest.status","wgcta.retest.surveyuser.id","wgcta.t.score","wgcta.theta.score","wgcta.verification.theta"
12122,"2012-10-05 15:44:01","Male","Yes","White - British","","45-49 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","BSc","Deputy Director","Administrative/Clerical","As an applicant for a job outside of my current organisation","21 to 25 years",1365,0.96658,0.31792,"UK General Population",40,5,5,12,8,5,4,6,4,12,9,58,-0.56916,30,,,,52,0.07871,
7255,"2012-04-10 09:23:50","Male","No","White - Any other White Background","France","40-44 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","France","","Higher Education Certificate or Diploma","Managing Director","Other","For professional development","3 to 4 years",1788,-1.59778,-0.99485,"Senior Management",40,5,3,12,5,5,2,6,3,12,4,0,-0.95559,17,,,,20,-1.52449,
55340,"2016-02-03 13:25:01","Female","Yes","White - Any other White Background","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","Other, please specify below","Kosovo","BSc","Assessment Centre","Accountant","As an applicant for a job outside of my current organisation","1 to 2 years",1543,0.64843,0.17653,"Graduates in Law, Business, Economic or Finance",40,5,1,12,11,5,5,6,5,12,8,85,0.78266,30,,,,60,0.85508,
19019,"2013-06-30 15:51:03","Male","Yes","White - British","","50-54 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","Master Degree","Chief Operating Officer ","Other","As an applicant for a job outside of my current organisation","8 to 10 years",1710,0.34307,0.31815,"Senior Management",40,5,3,12,9,5,3,6,5,12,8,33,-0.18638,28,,,,46,0.0267,
42736,"2014-11-16 17:11:38","Male","Yes","White - British","","35-39 years","Prefer not to say","","No","United Kingdom","","LLB","Deputy University Secretary (Legal and Student Matters)","Legal Professional","As an applicant for a job outside of my current organisation","1 to 2 years",990,0.62151,0.29976,"UK General Population",40,5,4,12,10,5,5,6,3,12,8,86,0.6639,30,,,,61,0.80805,
38557,"2014-09-03 16:07:17","","","","","","","","","","","GCSE or equivalent","Project Coordinator","Administrative/Clerical","As part of a trial","3 to 4 years",1800,-0.56471,-2.01011,"UK General Population",28,5,4,12,4,5,3,6,4,0,0,1,-1.53509,15,,,,25,-2.25785,
29740,"2014-02-03 16:24:24","Male","Yes","White - British","","25-29 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","Master Degree","Consulting Associate","Accountant","As an applicant for a job outside of my current organisation","3 to 4 years",1319,0.81964,-0.16064,"Executive Search candidates (UK)",40,5,4,12,10,5,4,6,4,12,6,69,0.91877,28,,,,56,0.80445,
5158,"2016-02-20 16:53:52","Female","Yes","White - Any other White Background","","20-24 years","No religion","","No","Denmark","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","Less than 1 year",1800,0.73993,0.77532,"Hogan Lovells Graduates",40,5,3,12,10,5,5,6,4,12,9,59,0.56774,31,,,,52,0.9557,
27734,"2013-12-17 11:26:35","Female","Yes","Asian or Asian British - Chinese","","45-49 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","Singapore","","BA","Business Owner","Self Employed/Business Owner","None of the above","16 to 20 years",1800,-0.98986,-1.72344,"UK General Population",27,5,3,12,5,5,1,5,3,0,0,1,-1.56764,12,,,,25,-1.9344,
13387,"2013-04-12 19:40:13","Female","Yes","Asian or Asian British - Indian","","25-29 years","Sikh","","No","India","","Master Degree","Product Manager","Marketing Professional","As an applicant for a job outside of my current organisation","Less than 1 year",1767,-0.6842,0.05505,"UK General Population",40,5,3,12,7,5,2,6,4,12,8,34,-0.5499,24,,,,46,-0.47227,
25749,"2015-03-16 20:59:18","Male","","White - British","","20-24 years","No religion","","No","","","BSc","Sales Associate","Student","As an applicant for a job outside of my current organisation","Less than 1 year",1419,-0.40984,-0.16493,"Graduates",40,5,2,12,10,5,3,6,6,12,7,49,0.88808,28,,,,50,0.1438,
26989,"2013-11-21 22:41:04","Male","No","Other ethnic group, please specify below","malay","45-49 years","Muslim","","No","Malaysia","","Other","accountant","Accountant","For professional development","16 to 20 years",1800,-0.8942,-2.30723,"Public Sector Managers",28,5,1,12,7,5,2,6,3,0,0,1,-0.70945,13,,,,25,-1.49043,
25125,"2015-03-29 17:12:02","Male","","Asian or Asian British - Indian","","16-19 years","Hindu","","No","","","A-Level Scottish Highers or equivalent","IT Intern","Student","None of the above","1 to 2 years",1159,-0.05589,-0.35941,"Graduates",40,5,2,12,9,5,3,6,4,12,5,49,0.299,23,,,,50,0.09287,
54270,"2015-12-04 16:43:38","Female","No","Prefer not to say","","35-39 years","Hindu","","No","Mauritius","","LLB","Legal Adviser","Legal Professional","As an applicant for a job outside of my current organisation","Less than 1 year",1552,-0.14509,-0.92528,"UK General Population",40,5,3,12,7,5,3,6,5,12,6,21,-0.4817,24,,,,42,-0.70108,
15016,"2013-03-19 08:55:38","Female","Yes","White - British","","50-54 years","No religion","","No","United Kingdom","","Doctoral Degree","Board Member","Other","As an applicant for a job outside of my current organisation","1 to 2 years",1800,0.54456,0.52177,"UK General Population",40,5,3,12,11,5,5,6,4,12,8,90,1.05626,31,,,,63,0.91824,
14028,"2013-01-04 10:05:59","Male","Yes","Other ethnic group, please specify below","Maltese","55-59 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","Malta","","Doctoral Degree","Senior Lecturer","Teacher","As an applicant for a job outside of my current organisation","21 to 25 years",1642,-0.35374,-0.48473,"Public Sector Managers",40,5,2,12,10,5,2,6,3,12,4,38,0.34947,21,,,,47,-0.12341,
29433,"2014-02-03 19:04:34","Female","Yes","Asian or Asian British - Indian","","30-34 years","Hindu","","No","India","","Master Degree","solicitor","Legal Professional","As an applicant for a job outside of my current organisation","5 to 7 years",1774,-0.70853,0.80784,"Managers",40,5,2,12,6,5,3,6,3,12,9,36,-0.43411,23,,,,47,-0.29116,
24724,"2013-12-16 21:47:55","Female","Yes","White - British","","20-24 years","No religion","","No","United Kingdom","","Master Degree","Actuarial Graduate","Student","As an applicant for a job outside of my current organisation","3 to 4 years",1800,0.54202,-0.53262,"Graduates",40,5,4,12,10,5,3,6,4,12,7,53,0.35851,28,,,,51,0.22635,
29805,"2014-02-09 15:39:12","Male","Yes","Asian or Asian British - Indian","","35-39 years","Hindu","","No","India","","BEng","AVP","Information Technology Professional","As an applicant for a job in my current organisation","11 to 15 years",1755,-1.94063,-0.15307,"Senior Management",40,5,1,12,4,5,3,6,3,12,7,1,-1.39203,18,,,,20,-1.72275,
54360,"2015-12-01 08:02:21","Male","Yes","White - British","","55-59 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","Master Degree","Company Examiner","Legal Professional","As an applicant for a job outside of my current organisation","Less than 1 year",979,-0.31449,-1.34724,"Managers",40,5,3,12,11,5,3,6,5,12,4,40,0.92473,26,,,,48,-0.12653,
13241,"2012-11-23 19:02:49","Female","Yes","White - British","","20-24 years","No religion","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Customer Representative ","Customer Service","As an applicant for a job outside of my current organisation","Less than 1 year",1140,0.40338,0.0071,"UK General Population",40,5,5,12,10,5,3,6,4,12,8,62,0.00721,30,,,,53,0.11099,
10795,"2012-11-15 23:49:42","Female","No","Asian or Asian British - Chinese","","20-24 years","No religion","","No","China","","BA","Bank of England Graduate Program","Student","As an applicant for a job outside of my current organisation","16 to 20 years",1768,-0.81626,0.72907,"Graduates",40,5,2,12,7,5,4,6,2,12,10,26,-0.66443,25,,,,43,-0.40378,
55497,"2016-02-02 12:50:00","Female","Yes","White - British","","20-24 years","Prefer not to say","","No","United Kingdom","","Other","Student","Student","As an applicant for a job outside of my current organisation","16 to 20 years",1800,0.93996,0.57112,"Graduates",40,5,3,12,12,5,4,6,5,12,10,91,1.37133,34,,,,62,1.29772,
25814,"2014-01-26 11:16:43","Male","Yes","White - British","","25-29 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","Master Degree","Graduate Finance Position","New to Workforce","As an applicant for a job outside of my current organisation","Less than 1 year",1291,-0.05466,1.08884,"Graduates",40,5,3,12,11,5,3,6,3,12,9,80,0.79164,29,,,,58,0.8035,
40159,"2014-10-24 16:32:20","Male","No","Asian or Asian British - Chinese","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","China","","Master Degree","Postgraduate Economics/Finance programme 2015","Student","As an applicant for a job outside of my current organisation","16 to 20 years",1667,-0.5866,0.12763,"Bank of England Graduate & Internship Applicants 2014",40,5,3,12,9,5,2,6,4,12,9,44,0.70609,27,,,,49,0.16391,
27764,"2013-12-17 11:33:17","Female","Yes","Asian or Asian British - Chinese","","30-34 years","Buddhist","","No","Singapore","","BA","teacher","Teacher","For professional development","5 to 7 years",304,-1.7992,-0.97999,"UK General Population",40,5,1,12,4,5,3,6,2,12,4,1,-1.42723,14,,,,25,-2.15543,
53864,"2015-10-29 10:27:25","Male","","White - British","","20-24 years","No religion","","No","","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","3 to 4 years",1798,-0.09976,1.15599,"Graduates",40,5,4,12,12,5,3,6,4,12,11,91,1.69341,34,,,,62,1.25117,
20046,"2013-08-18 12:26:54","Female","Yes","White - Irish","","35-39 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","Ireland","","BSc","Control & Contigency Manager","Information Technology Professional","As an applicant for a job in my current organisation","16 to 20 years",1530,0.84673,1.34311,"Senior Management",40,5,4,12,8,5,5,6,3,12,12,62,-0.23402,32,,,,54,0.63171,
14963,"2013-03-15 14:07:53","Female","Yes","White - British","","25-29 years","No religion","","No","United Kingdom","","Higher Education Certificate or Diploma","Practice Manager","Medical Professional","As an applicant for a job outside of my current organisation","8 to 10 years",1097,-0.94925,0.29334,"UK General Population",40,5,0,12,9,5,2,6,3,12,8,46,0.075,22,,,,49,-0.26921,
40933,"2014-11-18 04:48:00","Male","Yes","Asian or Asian British - Indian","","20-24 years","No religion","","No","Singapore","","Master Degree","Student","Student","As an applicant for a job outside of my current organisation","Prefer not to say",1800,1.07701,1.18143,"Bank of England Graduate & Internship Applicants 2014",40,5,4,12,8,5,5,6,4,12,10,75,-0.34887,31,,,,57,0.71585,
41783,"2014-11-20 13:24:34","Female","Yes","White - British","","20-24 years","No religion","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Bank of England Graduate Scheme","Student","As an applicant for a job outside of my current organisation","1 to 2 years",1232,1.02157,-0.21898,"Bank of England Graduate & Internship Applicants 2014",40,5,5,12,7,5,5,6,4,12,6,37,-0.27492,27,,,,47,0.03507,
49009,"2015-04-13 15:27:53","Male","Yes","White - British","","50-54 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","BSc","CE SPPA","Other","As an applicant for a job outside of my current organisation","26 years or more",1087,0.17015,-0.79672,"Senior Management",40,5,4,12,7,5,3,6,5,12,3,26,-0.09574,22,,,,44,-0.22642,
